,applystudent2,school2,applystudent1,datetime,school1
416,21,양지고,20,2020-04-08 22:01:48.111091,다정고
417,21,양지고,20,2020-04-08 22:01:53.471063,다정고
418,21,양지고,20,2020-04-08 22:01:58.811185,다정고
419,21,양지고,20,2020-04-08 22:02:04.062250,다정고
420,21,양지고,20,2020-04-08 22:02:09.311843,다정고
421,21,양지고,20,2020-04-08 22:02:14.680670,다정고
422,21,양지고,20,2020-04-08 22:02:19.933020,다정고
423,21,양지고,20,2020-04-08 22:02:25.198382,다정고
424,21,양지고,20,2020-04-08 22:02:30.452966,다정고
425,21,양지고,20,2020-04-08 22:02:35.714266,다정고
426,21,양지고,20,2020-04-08 22:02:40.978436,다정고
427,21,양지고,20,2020-04-08 22:02:46.239813,다정고
428,21,양지고,20,2020-04-08 22:02:51.506857,다정고
429,21,양지고,20,2020-04-08 22:02:56.765609,다정고
430,21,양지고,20,2020-04-08 22:03:02.017634,다정고
431,21,양지고,20,2020-04-08 22:03:07.291700,다정고
432,21,양지고,20,2020-04-08 22:03:12.632713,다정고
433,21,양지고,20,2020-04-08 22:03:17.896851,다정고
434,21,양지고,20,2020-04-08 22:03:23.226596,다정고
435,21,양지고,20,2020-04-08 22:03:28.486030,다정고
436,21,양지고,20,2020-04-08 22:03:33.741571,다정고
437,21,양지고,20,2020-04-08 22:03:38.996237,다정고
438,21,양지고,20,2020-04-08 22:03:44.251558,다정고
439,21,양지고,20,2020-04-08 22:03:49.506847,다정고
440,21,양지고,20,2020-04-08 22:03:54.752382,다정고
441,21,양지고,20,2020-04-08 22:04:00.000968,다정고
442,21,양지고,20,2020-04-08 22:04:05.293983,다정고
443,21,양지고,20,2020-04-08 22:04:10.543022,다정고
444,21,양지고,20,2020-04-08 22:04:15.788274,다정고
445,21,양지고,20,2020-04-08 22:04:21.104065,다정고
446,21,양지고,20,2020-04-08 22:04:26.368738,다정고
447,21,양지고,20,2020-04-08 22:04:31.622551,다정고
448,21,양지고,20,2020-04-08 22:04:36.872689,다정고
449,21,양지고,20,2020-04-08 22:04:42.129789,다정고
450,21,양지고,20,2020-04-08 22:04:47.406350,다정고
451,21,양지고,20,2020-04-08 22:04:52.654981,다정고
452,21,양지고,20,2020-04-08 22:04:57.906543,다정고
453,21,양지고,20,2020-04-08 22:05:03.153582,다정고
454,21,양지고,20,2020-04-08 22:05:08.403452,다정고
455,21,양지고,20,2020-04-08 22:05:13.851163,다정고
456,21,양지고,20,2020-04-08 22:05:19.172715,다정고
457,21,양지고,20,2020-04-08 22:05:24.513056,다정고
458,21,양지고,20,2020-04-08 22:05:29.817733,다정고
459,21,양지고,20,2020-04-08 22:05:35.116762,다정고
460,21,양지고,20,2020-04-08 22:05:40.449109,다정고
